,省份,出省人数,入省人数,Year
15,河南,17163670,10169365,2015
16,湖北,10975406,6398624,2015
17,湖南,11412808,8041888,2015
18,广东,29627332,3499753,2015
19,广西,8752230,5336521,2015
20,海南,1518250,557752,2015
21,重庆,6329406,3513648,2015
22,四川,16923732,9950113,2015
23,贵州,7161343,3923713,2015
24,云南,7885728,3010680,2015
25,西藏,179098,113130,2015
26,陕西,6680517,2903245,2015
27,甘肃,4370612,2228054,2015
28,青海,788380,392989,2015
29,宁夏,1065611,440353,2015
30,新疆,4391715,1279767,2015
0,北京,6603112,460265,2016
1,天津,2841864,438958,2016
2,河北,12309289,5752810,2016
3,山西,6687996,2358043,2016
4,内蒙古,5642577,1782811,2016
5,辽宁,9322837,2374222,2016
6,吉林,5331727,2110238,2016
7,黑龙江,6560499,3338119,2016
8,上海,7655356,484380,2016
9,江苏,15903113,5283245,2016
10,浙江,13969873,3747042,2016
11,安徽,11569388,8779789,2016
12,福建,8552345,2723297,2016
13,江西,6765364,5677298,2016
14,山东,18967496,6911839,2016
15,河南,16920028,10237248,2016
16,湖北,10917412,6463057,2016
17,湖南,11341692,8106321,2016
18,广东,29009780,3564186,2016
19,广西,8760931,5360904,2016
20,海南,1743970,582135,2016
21,重庆,6410792,3538031,2016
22,四川,16687288,9974496,2016
23,贵州,7217770,3948096,2016
24,云南,7920424,3078563,2016
25,西藏,444993,181013,2016
26,陕西,6751369,2971128,2016
27,甘肃,4510761,2192537,2016
28,青海,1035996,357472,2016
29,宁夏,1304910,404836,2016
30,新疆,4531231,1347650,2016
0,北京,7315623,442530,2017
1,天津,2752209,516753,2017
2,河北,3925593,5797413,2017
3,山西,3053286,1767420,2017
4,内蒙古,3430143,1725354,2017
5,辽宁,6377706,1846827,2017
6,吉林,2851803,2517858,2017
7,黑龙江,2893122,4706856,2017
8,上海,8564931,448875,2017
9,江苏,9732015,5702859,2017
10,浙江,9779355,3558141,2017
11,安徽,3654333,15531966,2017
12,福建,5770692,3250152,2017
13,江西,2023713,10598904,2017
14,山东,8109603,5135751,2017
15,河南,5071374,14633082,2017
16,湖北,5297733,11040138,2017
17,湖南,3755916,13897764,2017
18,广东,26961678,1392012,2017
19,广西,3044997,8176545,2017
20,海南,984762,551205,2017
21,重庆,3072474,5673078,2017
22,四川,5491620,14555997,2017
23,贵州,2079504,4901580,2017
24,云南,2257974,1593135,2017
25,西藏,94986,81783,2017
26,陕西,2791395,3265569,2017
27,甘肃,1461006,2400165,2017
28,青海,535482,312903,2017
29,宁夏,714411,297783,2017
30,新疆,2172132,551043,2017
0,北京,7781607,473507,2018
1,天津,4429063,554372,2018
2,河北,7194010,5922547,2018
3,山西,4707026,1822108,2018
4,内蒙古,4005782,1868723,2018
5,辽宁,11010592,2029113,2018
6,吉林,5098372,2824951,2018
7,黑龙江,7061258,5079855,2018
8,上海,8820421,483167,2018
9,江苏,15083233,5178792,2018
10,浙江,10193147,3553427,2018
11,安徽,6091293,14743904,2018
12,福建,6274192,3176966,2018
13,江西,3752145,9894146,2018
14,山东,14182492,4876488,2018
15,河南,9165746,12580054,2018
16,湖北,8964080,10991025,2018
17,湖南,6369221,13933852,2018
18,广东,26194191,1388203,2018
19,广西,4176388,8456756,2018
20,海南,1162144,660602,2018
21,重庆,4340805,5458550,2018
22,四川,7957830,14041455,2018
23,贵州,2768781,4971622,2018
24,云南,3162415,1712762,2018
25,西藏,136161,104305,2018
26,陕西,4418587,3149842,2018
27,甘肃,2629467,2175090,2018
28,青海,684016,325562,2018
29,宁夏,1029647,304406,2018
30,新疆,3035901,671723,2018
0,北京,7261667,570018,2019
1,天津,4679064,520887,2019
2,河北,19505053,4215719,2019
3,山西,9962809,1820250,2019
4,内蒙古,7771513,1851784,2019
5,辽宁,12941896,1513734,2019
6,吉林,7639860,1706603,2019
7,黑龙江,11409965,3148760,2019
8,上海,9387741,1091670,2019
9,江苏,25830604,4156576,2019
10,浙江,18685649,4346890,2019
11,安徽,15588658,8370499,2019
12,福建,11830198,2904467,2019
13,江西,12598251,6101789,2019
14,山东,26750588,3807106,2019
15,河南,21643216,7667060,2019
16,湖北,15584804,6253481,2019
17,湖南,17667073,8224022,2019
18,广东,34268851,2628417,2019
19,广西,11393163,5131566,2019
20,海南,2517097,516373,2019
21,重庆,8763997,3444508,2019
22,四川,19509278,8875146,2019
23,贵州,7175001,3144651,2019
24,云南,10237325,1828247,2019
25,西藏,435542,103490,2019
26,陕西,10112599,2594812,2019
27,甘肃,5249373,1535590,2019
28,青海,1465789,346462,2019
29,宁夏,1593899,306302,2019
30,新疆,5039880,727111,2019
